nome;frequencia;no_casos
ARANTES;74;1
CARLOS;73;1
FERRARI;72;1
CESAR;71;1
MEIRELES;71;1
VELOSO;71;1
ESTEVES;70;1
JOAQUINA;70;1
MARCONDES;70;1
NOBREGA;70;1
GABRIEL;69;1
HORA;69;1
PEDROSA;69;1
FIRMINO;68;1
JOANA;68;1
MERCES;68;1
MESSIAS;68;1
MULLER;68;1
NOBRE;68;1
RIBAS;68;1
SILVERIO;68;1
SOBRAL;68;1
GODOI;67;1
SIMAO;67;1
SOUTO;67;1
GUIMARÂ¦ES;65;1
NAZARE;65;1
RUIZ;65;1
VALENTE;65;1
ANDRE;64;1
RIOS;64;1
TOMAZ;64;1
VENANCIO;64;1
CALDAS;63;1
LESSA;63;1
FAUSTINO;62;1
QUADROS;62;1
RUFINO;62;1
SERRA;62;1
MUNHOZ;61;1
BITTENCOURT;60;1
FIGUEREDO;60;1
MARINS;60;1
MARTINEZ;60;1
NOVAIS;60;1
PIEDADE;60;1
SALVADOR;60;1
VITORIA;60;1
CALDEIRA;59;1
LOUREIRO;59;1
SILVESTRE;59;1
GOUVEA;58;1
SABINO;58;1
AFONSO;57;1
ROQUE;57;1
ANA;56;1
ANNA;56;1
IZABEL;56;1
MASCARENHAS;56;1
PORTELA;56;1
RAIMUNDO;56;1
SOLIDADE;56;1
VALLE;56;1
CAMILO;55;1
COIMBRA;55;1
CONCEIAO;55;1
FALCAO;55;1
JULIA;55;1
LINO;55;1
PENA;55;1
GOIS;54;1
SALGADO;54;1
SERAFIM;54;1
CARDOZO;53;1
GASPAR;53;1
SÂ¦;53;1
GALDINO;52;1
VERAS;52;1
AMARO;51;1
DANIEL;51;1
MATA;51;1
NAVARRO;51;1
ROBERTO;51;1
VALERIO;51;1
BENEDITO;50;1
CLEMENTE;50;1
DOURADO;50;1
JACINTO;50;1
DECLARADO;49;1
ESPINDOLA;49;1
FLORENCIO;49;1
HOLANDA;49;1
PESSANHA;49;1
BITENCOURT;48;1
CEZAR;48;1
CINTRA;48;1
DELFINO;48;1
GODINHO;48;1
GRACA;48;1
PALMA;48;1
TERRA;48;1
VALENTIM;48;1
BOAS;47;1
CAVALHEIRO;47;1
CONCEI#AO;47;1
DELGADO;47;1
GUSMAO;47;1
JUSTINO;47;1
LEANDRO;47;1
MANOEL;47;1
AMELIA;46;1
CONCEICAS;46;1
FELICIANO;46;1
GRACAS;46;1
LINHARES;46;1
LUNA;46;1
MATEUS;46;1
PRESTES;46;1
RICARDO;46;1
SARMENTO;46;1
SODRE;46;1
TEREZA;46;1
AVELAR;45;1
DAVID;45;1
ENCARNACAO;45;1
GREGORIO;45;1
SALDANHA;45;1
SEVERINO;45;1
TELLES;45;1
AMBROSIO;44;1
BELO;44;1
GERALDO;44;1
LUCIA;44;1
MODESTO;44;1
NERY;44;1
NORONHA;44;1
SEBASTIANA;44;1
BARCELLOS;43;1
BRUM;43;1
CELESTINO;43;1
NATIVIDADE;43;1
ROMAO;43;1
SANCHEZ;43;1
BASILIO;42;1
CALIXTO;42;1
FELICIO;42;1
GIMENES;42;1
MENESES;42;1
OLIVIERA;42;1
PATROCINIO;42;1
VITAL;42;1
AMANCIO;41;1
ASSUMPCAO;41;1
BOMFIM;41;1
BRASILEIRO;41;1
CAROLINA;41;1
MATHIAS;41;1
NETTO;41;1
PROENCA;41;1
CORTES;40;1
FORTES;40;1
LOBATO;40;1
MADEIRA;40;1
PINA;40;1
TENORIO;40;1
AVELINO;39;1
CORTEZ;39;1
LUCIANO;39;1
QUIRINO;39;1
VITORINO;39;1
FERRO;38;1
GIMENEZ;38;1
HONORATO;38;1
JA;38;1
MOLINA;38;1
MONTE;38;1
PAULINA;38;1
SEIXAS;38;1
VASCONCELLOS;38;1
AIRES;37;1
ALONSO;37;1
JACOB;37;1
JANUARIO;37;1
LAGO;37;1
LEITAO;37;1
MEIRELLES;37;1
ROMANO;37;1
ISABEL;36;1
LIVRAMENTO;36;1
MAURICIO;36;1
MOURAO;36;1
VIEGAS;36;1
ANGELO;35;1
BRITTO;35;1
FONTOURA;35;1
GUERREIRO;35;1
GUILHERME;35;1
ORTIZ;35;1
PANTOJA;35;1
TEODORA;35;1
ALBINO;34;1
BERNARDINO;34;1
BONIFACIO;34;1
BRUNO;34;1
CONSTANTINO;34;1
FIDELIS;34;1
JOAQUIM;34;1
LUCIO;34;1
THOMAZ;34;1
ANGELICA;33;1
BENITES;33;1
BESSA;33;1
CASSIANO;33;1
CLARA;33;1
CONCECAO;33;1
EUGENIA;33;1
FOGACA;33;1
JUNQUEIRA;33;1
NETA;33;1
ROLIM;33;1
SCHMIDT;33;1
ARANHA;32;1
GIL;32;1
LEOPOLDINA;32;1
MAGALHÂ¦ES;32;1
MARGARIDA;32;1
MATHEUS;32;1
NERES;32;1
RAIMUNDA;32;1
SCHNEIDER;32;1
TOBIAS;32;1
TOME;32;1
ALVARES;31;1
ANASTACIO;31;1
BENEDICTA;31;1
CAMPELO;31;1
HONORIO;31;1
IGNACIO;31;1
LANA;31;1
LAURINDO;31;1
MARTIN;31;1
