nome;frequencia;no_casos
FUENTES;13;1
GATTI;13;1
GEREMIAS;13;1
GRANJA;13;1
HORTA;13;1
INOCENCIO;13;1
JACINTA;13;1
LIMEIRA;13;1
LOPEZ;13;1
MALDONADO;13;1
MANCINI;13;1
MARCO;13;1
MARINI;13;1
MARTIM;13;1
MAURO;13;1
MENDONÂ¦A;13;1
MONCAO;13;1
MORETTO;13;1
MORO;13;1
MORTE;13;1
ORNELAS;13;1
PARRA;13;1
PITA;13;1
PRUDENTE;13;1
QUINTINO;13;1
QUITERIA;13;1
ROMANI;13;1
ROSALINA;13;1
SCHULTZ;13;1
SENHORA;13;1
SILVERIA;13;1
SLVA;13;1
TINOCO;13;1
TOLENTINO;13;1
TOSTES;13;1
URBANO;13;1
VICENTINA;13;1
ZANINI;13;1
AMADO;12;1
AMORIN;12;1
APPARECIDA;12;1
AURELIANO;12;1
BALTAZAR;12;1
BARREIRO;12;1
BATALHA;12;1
CASSIMIRO;12;1
CASTANHO;12;1
COQUEIRO;12;1
CRAVO;12;1
CUTRIM;12;1
DAMASCENA;12;1
EMIDIO;12;1
EZEQUIEL;12;1
FABRI;12;1
FABRICIO;12;1
FORTE;12;1
FRANCELINA;12;1
HIPOLITO;12;1
JANUARIA;12;1
KRUGER;12;1
LARANJEIRA;12;1
LAURIANO;12;1
LEOPOLDINO;12;1
MADRUGA;12;1
MARANHAO;12;1
OZORIO;12;1
PETRY;12;1
PONCE;12;1
REBELLO;12;1
RIO;12;1
RISSO;12;1
ROMA;12;1
ROSARIA;12;1
SCHMITT;12;1
SIMPLICIO;12;1
SORIANO;12;1
TAKAHASHI;12;1
TEOFILO;12;1
TRAJANO;12;1
VALADAO;12;1
VARELLA;12;1
VELASCO;12;1
VICENCIA;12;1
VITALINA;12;1
WERNECK;12;1
XIMENES;12;1
ZACARIAS;12;1
ZANI;12;1
ALBERNAZ;11;1
ANASTACIA;11;1
ANICETO;11;1
BALDO;11;1
BARATA;11;1
BARNABE;11;1
BELARMINO;11;1
BELMIRO;11;1
BERTONI;11;1
BICUDO;11;1
BONI;11;1
BONILHA;11;1
BRIGIDA;11;1
CARMONA;11;1
CARRIJO;11;1
CARUSO;11;1
CASTANHEIRA;11;1
CATHARINA;11;1
CEU;11;1
CLAUDINA;11;1
CONCECÂ¦O;11;1
CONCEIO;11;1
CONCEITPO;11;1
COTA;11;1
COTRIM;11;1
DA;11;1
DORNELLES;11;1
FELICIDADE;11;1
FELIZARDO;11;1
FILGUEIRAS;11;1
FONTENELE;11;1
GALDINA;11;1
GALVÂ¦O;11;1
GENTIL;11;1
GROSSI;11;1
GUAJAJARA;11;1
HIGA;11;1
IGNACIA;11;1
INES;11;1
JAQUES;11;1
JEUS;11;1
JOSEFINA;11;1
JUSTO;11;1
LOURENÂ¦O;11;1
LUCIANA;11;1
LUISA;11;1
MALHEIROS;11;1
MARTINHO;11;1
MILITAO;11;1
MOISES;11;1
MONTOVANI;11;1
MORA;11;1
NACIMENTO;11;1
NAKAMURA;11;1
ORNELLAS;11;1
OSHIRO;11;1
PARAISO;11;1
PEDROZA;11;1
PELEGRINI;11;1
PENIDO;11;1
POLI;11;1
PRETO;11;1
PURIFICACÂ¦O;11;1
QUEIROGA;11;1
QUERINO;11;1
SABINA;11;1
