nome;frequencia;no_casos
ARACI;160;1
SELMA;160;1
CLEUSA;157;1
IZALTINA;157;1
MÂª;157;1
LAURENTINA;156;1
TANIA;156;1
ROMANA;155;1
EURIDES;154;1
FAUSTINA;154;1
ANDRELINA;153;1
NORMA;153;1
IRACY;152;1
LINA;152;1
SIMONE;151;1
SABINA;150;1
GENY;149;1
MAGDALENA;148;1
CARMELINA;147;1
GENOVEVA;146;1
VERGINIA;146;1
DELMIRA;145;1
FLORIPES;145;1
GILDA;145;1
HERCILIA;143;1
ROSANA;143;1
ESTHER;142;1
JERONIMA;142;1
LINDINALVA;142;1
LYDIA;142;1
ANGELITA;139;1
ODILA;139;1
MATHILDE;138;1
PHILOMENA;137;1
CUSTODIA;136;1
PETRONILIA;136;1
MARINETE;135;1
MARLY;135;1
FRANCISCO;134;1
CAMILA;133;1
ELIANA;131;1
VALENTINA;131;1
IRIA;130;1
VALDETE;130;1
CLAUDINA;129;1
EULINA;129;1
VICTORIA;129;1
AMABILE;127;1
LEONIDIA;126;1
ANDREIA;125;1
GERCINA;125;1
JANETE;125;1
DAVINA;124;1
ROMILDA;124;1
ROSELI;124;1
CRISTIANE;123;1
WILMA;123;1
FABIANA;122;1
ERMINIA;121;1
DIONISIA;120;1
JUVENTINA;120;1
LUCILIA;120;1
WANDA;120;1
BERNADETE;119;1
CLEIDE;119;1
FELICIANA;119;1
SALVINA;119;1
SUZANA;119;1
ANDREA;118;1
MA;118;1
ALMIRA;117;1
ANISIA;117;1
ESTELITA;117;1
ILZA;117;1
LEDA;117;1
URSULINA;117;1
COSMA;116;1
EMILIANA;116;1
RUFINA;116;1
CREUSA;115;1
IARA;115;1
MARA;115;1
AIDA;114;1
BRIGIDA;114;1
CLEUZA;114;1
IRANI;113;1
JURACY;113;1
NAZARE;113;1
PERCILIA;113;1
EVANGELINA;112;1
BERTOLINA;111;1
MARTHA;110;1
MIRIAM;110;1
RUTE;110;1
CLOTILDES;108;1
IGNORADA;108;1
LUCI;108;1
VALERIA;108;1
ABIGAIL;107;1
ELISABETE;107;1
CLAUDETE;106;1
GALDINA;106;1
LETICIA;106;1
MARISA;106;1
VALDELICE;106;1
BERENICE;105;1
PALMYRA;105;1
ARGENTINA;104;1
CELESTE;104;1
DINA;104;1
ELAINE;104;1
IVETE;104;1
JANUARIA;104;1
OTACILIA;104;1
AGUIDA;103;1
IVANI;103;1
CARMELIA;102;1
ELIETE;102;1
EMA;102;1
ANTGNIA;101;1
AUTA;101;1
EXPEDITA;101;1
ROZA;101;1
FELICIDADE;100;1
PERCILIANA;100;1
VIRGILINA;100;1
DORACI;99;1
EMMA;99;1
MONICA;99;1
ADALGIZA;98;1
APPARECIDA;98;1
JARDELINA;98;1
LURDES;98;1
SERAFINA;98;1
CARLINDA;97;1
ELENA;97;1
FERNANDA;97;1
PETRONILHA;97;1
SUELY;97;1
VANESSA;96;1
MARILDA;95;1
FLORENCIA;94;1
LEONICE;94;1
LUCIENE;94;1
RAYMUNDA;94;1
RICARDINA;94;1
ERONDINA;93;1
JACI;93;1
MARCILIA;93;1
ZEFERINA;93;1
AGOSTINHA;92;1
DARCI;92;1
OLYMPIA;92;1
ELIDIA;91;1
ISALTINA;91;1
LAURITA;91;1
LEA;91;1
ANEZIA;90;1
HORTENCIA;90;1
MANOELINA;90;1
MATILDES;90;1
SATURNINA;90;1
ILMA;89;1
PRISCILA;89;1
AURELIA;88;1
DALVINA;88;1
DILMA;88;1
DORCELINA;88;1
MAIRA;88;1
RENATA;88;1
VALDECI;88;1
ALINE;87;1
KATIA;87;1
LEONORA;87;1
NELI;87;1
CASTORINA;86;1
DIOLINDA;86;1
PETRONILA;86;1
ANIZIA;85;1
MARIZA;85;1
VIRGILIA;85;1
JOSELITA;84;1
MARCIONILA;84;1
ROSINA;84;1
DENISE;83;1
ENI;83;1
ESTELA;83;1
GRACINDA;83;1
MAFALDA;83;1
ZULEIDE;83;1
AGRIPINA;82;1
BRASILIA;82;1
ENCARNACAO;82;1
MIRIAN;82;1
ROSILDA;82;1
SARA;82;1
TERCILIA;82;1
CARMELA;81;1
HONORIA;81;1
IRIS;81;1
MARCIONILIA;81;1
MARILIA;81;1
VANIA;81;1
ZELINA;81;1
ALESSANDRA;80;1
CHRISTINA;80;1
DEBORA;80;1
LEILA;80;1
ORMINDA;80;1
ZELINDA;80;1
ZENILDA;80;1
DONARIA;79;1
BRANDINA;78;1
CAETANA;78;1
DAGMAR;78;1
DIONIZIA;78;1
INOCENCIA;78;1
LEOCADIA;78;1
ELISANGELA;77;1
FAUSTA;77;1
FLAVIA;77;1
FLORISBELA;77;1
PEDRA;77;1
JOSELINA;76;1
LOURENCA;76;1
NILCE;76;1
DORA;75;1
ELIZETE;75;1
ELSA;75;1
ESCOLASTICA;75;1
MARCIANA;75;1
AMBROZINA;74;1
CARMELINDA;74;1
EROTILDES;74;1
HONORATA;74;1
IVA;74;1
JUVELINA;74;1
ORLANDA;74;1
RAIMUNDO;74;1
SHIRLEY;74;1
TERTULINA;74;1
THEODORA;74;1
CARMINA;73;1
ERNESTA;73;1
GREGORIA;73;1
IGN;73;1
MAXIMINA;73;1
ODETTE;73;1
RACHEL;73;1
DANIELA;72;1
DORALINA;72;1
ITALIA;72;1
JUSSARA;72;1
ANASTACIA;71;1
ANTONINA;71;1
APOLONIA;71;1
ROBERTA;71;1
AFONSINA;70;1
DULCINEIA;70;1
FELISBINA;70;1
LUCILA;70;1
CARMOSINA;69;1
JAQUELINE;69;1
ONOFRA;69;1
PERPETUA;69;1
PORCINA;69;1
BRAULINA;68;1
CARLA;68;1
ELISABETH;68;1
GERMANA;68;1
ALAYDE;67;1
ALEXANDRA;67;1
IGNACIA;67;1
IVANILDA;67;1
LUCY;67;1
ROSILENE;67;1
EUFROSINA;66;1
FERMINA;66;1
FLAUZINA;66;1
JACY;66;1
LEONINA;66;1
MARI;66;1
MAXIMIANA;66;1
ROZALINA;66;1
SALETE;66;1
SIRLEI;66;1
BERNARDA;65;1
EMIDIA;65;1
ESPERANCA;65;1
HERMELINDA;65;1
MICHELE;65;1
