nome;frequencia;no_casos
REZENDE;128;1
ROZA;128;1
BENTA;127;1
DEL;126;1
BERNARDES;123;1
ROMANA;123;1
LEMES;122;1
TOLEDO;122;1
ALBUQUERQUE;121;1
FAGUNDES;121;1
LIRA;120;1
SENA;120;1
VENTURA;120;1
ABADIA;119;1
EULALIA;119;1
ESTEVES;118;1
AMALIA;117;1
GRACA;117;1
PESSOA;117;1
ASSUNCAO;116;1
GONÂ¦ALVES;116;1
SABINA;116;1
GERTRUDES;115;1
CAMILA;112;1
FELISMINA;112;1
DIVINA;111;1
MÂª;111;1
FURTADO;110;1
IRENE;110;1
TERESINHA;110;1
LINS;109;1
MERCEDES;109;1
VITALINA;109;1
CERQUEIRA;108;1
CLEMENTINA;108;1
MARCELINO;108;1
PEDROSO;108;1
ADELINA;107;1
ANDRE;107;1
FLORA;107;1
JANUARIA;107;1
PAULO;107;1
CLAUDINA;106;1
LUCINDA;105;1
PONTES;104;1
ANUNCIACAO;103;1
DALVA;103;1
ELIZA;103;1
CELINA;102;1
GABRIELA;102;1
RUFINA;102;1
SABINO;102;1
SALETE;102;1
BRANDAO;101;1
LEANDRO;101;1
MESQUITA;101;1
BRASILEIRA;100;1
LIDIA;100;1
MATTOS;100;1
AFONSO;99;1
FAUSTINO;99;1
GABRIEL;99;1
GALVAO;99;1
JOSEFINA;99;1
LINO;99;1
MOTTA;99;1
VENANCIO;99;1
AVELINO;98;1
PUREZA;98;1
TENORIO;98;1
APPARECIDA;97;1
GAMA;97;1
LISBOA;97;1
HONORIA;96;1
RUFINO;96;1
SANTINA;96;1
SENHORA;96;1
TOMAZ;96;1
ETELVINA;95;1
INEZ;95;1
LOUDES;95;1
MINERVINA;95;1
OLIVIA;95;1
ROQUE;94;1
AMARO;93;1
BARBOZA;93;1
BENEDICTA;93;1
CÂ¦NDIDA;93;1
BELARMINA;92;1
CAMILO;92;1
EVA;92;1
FLORENTINA;92;1
FLORINDA;92;1
GENEROSA;92;1
NATIVIDADE;92;1
VIDAL;92;1
VIRGENS;92;1
AURORA;91;1
LACERDA;91;1
SEVERINO;91;1
VERONICA;91;1
VILELA;91;1
CARLOTA;90;1
CELESTE;90;1
FEITOSA;90;1
MARA;90;1
PIMENTEL;90;1
COUTO;89;1
MATILDE;89;1
PIMENTA;89;1
PORTO;89;1
AQUINO;88;1
CONSTANCIA;88;1
FLORES;88;1
SARAIVA;88;1
SERAFIM;88;1
AP;87;1
ELVIRA;85;1
CARMELITA;84;1
JOAQUIM;84;1
RICARDO;84;1
SOLEDADE;84;1
ELZA;82;1
GOES;82;1
LIVRAMENTO;82;1
PASTORA;82;1
DEOLINDA;81;1
EDITE;81;1
GUILHERME;81;1
LEME;81;1
CLAUDIA;80;1
HERMINIA;80;1
LUCIANA;80;1
VEIGA;80;1
ADELIA;79;1
BANDEIRA;79;1
CONCEIÂ¦AO;79;1
EFIGENIA;79;1
MARCOLINA;79;1
ALZIRA;78;1
BARROSO;78;1
ROBERTO;78;1
BRASILINA;77;1
FELICIANA;77;1
PERPETUA;77;1
VARGAS;77;1
ALCANTARA;76;1
CLEMENTE;76;1
LEONOR;76;1
OLINDINA;76;1
SALOME;76;1
SILVESTRE;76;1
VITORINO;76;1
CESAR;75;1
DAMASCENO;75;1
FONTES;75;1
GOUVEIA;75;1
GREGORIO;75;1
JUSTINO;74;1
OTILIA;74;1
RAIMUNDO;74;1
CAETANA;73;1
CAVALCANTI;73;1
FLORENCIO;73;1
JACINTO;73;1
NEUZA;73;1
BRIGIDA;72;1
PADILHA;72;1
QUIRINO;72;1
ALBERTINA;71;1
BENVINDA;71;1
BERNADETE;71;1
MANOELA;71;1
NERES;71;1
SILVERIO;71;1
BERNARDINO;70;1
ESTELA;70;1
GODOY;70;1
HONORIO;70;1
MORENO;70;1
PATRICIA;70;1
RAMALHO;70;1
RESENDE;70;1
ROBERTA;70;1
ALBINA;69;1
ALENCAR;69;1
AMANCIO;69;1
AMARA;69;1
BALBINO;69;1
FIGUEIRA;69;1
FLOR;69;1
IMACULADA;69;1
VELOSO;69;1
DI;68;1
JOVINA;68;1
JULIANA;68;1
THEODORA;68;1
ARANTES;67;1
BOTELHO;67;1
REGO;67;1
BRANCO;66;1
DEUS;66;1
HONORATA;66;1
PEDROSA;66;1
AGUIDA;65;1
GUERRA;65;1
IVONE;65;1
MARTINHA;65;1
DAMIANA;64;1
IGNACIA;64;1
ROSARIA;64;1
SOLIDADE;64;1
DARC;63;1
LARA;63;1
MARLENE;63;1
NAIR;63;1
NOBRE;63;1
VITOR;63;1
ALVARENGA;62;1
CASSIANO;62;1
JESUINA;62;1
JOVELINA;62;1
MANOEL;62;1
MARCIA;62;1
ROSSI;62;1
SIMAO;62;1
VALERIA;62;1
ZEFERINA;62;1
BORBA;61;1
ERNESTINA;61;1
TOME;61;1
 ;60;1
ESTER;60;1
FORTUNATO;60;1
JARDIM;60;1
MARCONDES;60;1
AIRES;59;1
LIA;59;1
NILZA;59;1
VICENTINA;59;1
ADRIANA;58;1
AMERICA;58;1
AVILA;58;1
CALDEIRA;58;1
FRAGA;58;1
HILDA;58;1
MEIRA;58;1
NONATO;58;1
PINHO;58;1
ANTGNIA;57;1
BERNARDA;57;1
FERNANDA;57;1
HONORATO;57;1
IRACEMA;57;1
SALLES;57;1
SALVINA;57;1
ANTONIETA;56;1
CLARINDA;56;1
ELENA;56;1
GREGORIA;56;1
LOUREIRO;56;1
NCIA;56;1
NERY;56;1
PATROCINIO;56;1
ZELIA;56;1
BENEDITO;55;1
FÂ¦TIMA;55;1
GALDINA;55;1
GERMANA;55;1
GOULART;55;1
MA;55;1
NERI;55;1
NIA;55;1
VILAS;55;1
AMBROSINA;54;1
AMPARO;54;1
ANITA;54;1
BELO;54;1
BONFIM;54;1
FAUSTA;54;1
OLGA;54;1
RABELO;54;1
VALERIO;54;1
BELA;53;1
BELARMINO;53;1
BITTENCOURT;53;1
BRASIL;53;1
BRUNO;53;1
CALIXTO;53;1
DAVID;53;1
FLORENCIA;53;1
RIBAS;53;1
SEVERO;53;1
ANASTACIA;52;1
GODOI;52;1
JANUARIO;52;1
JOSINA;52;1
NEUSA;52;1
RAQUEL;52;1
SERRA;52;1
SOFIA;52;1
SOUTO;52;1
ANGELO;51;1
BARCELOS;51;1
DULCE;51;1
FELICIANO;51;1
GLARIA;51;1
JERONIMA;51;1
JERONIMO;51;1
JULIETA;51;1
MAURICIO;51;1
ALBINO;50;1
CIPRIANO;50;1
DIONISIA;50;1
ISAURA;50;1
LOBO;50;1
MARCIANA;50;1
MATEUS;50;1
NEIDE;50;1
NOVAES;50;1
PEREZ;50;1
SILVIA;50;1
ARATJO;49;1
AUREA;49;1
BASILIO;49;1
CELESTINO;49;1
LUCIANO;49;1
LUZINETE;49;1
SILVERIA;49;1
SILVINA;49;1
ZILDA;49;1
ALTINA;48;1
CASTILHO;48;1
DELMIRA;48;1
JOANNA;48;1
LINDA;48;1
MARINA;48;1
MARINS;48;1
SATURNINA;48;1
VALENTINA;48;1
VENANCIA;48;1
VITAL;48;1
ZULMIRA;48;1
AGOSTINHO;47;1
FERRARI;47;1
FIDELIS;47;1
HOLANDA;47;1
IGNEZ;47;1
RAINHA;47;1
SUELI;47;1
URSULINA;47;1
ANALIA;46;1
APOLINARIA;46;1
CEU;46;1
ESP+RITO;46;1
LAZARA;46;1
MALAQUIAS;46;1
SALDANHA;46;1
SIMPLICIO;46;1
BONIFACIO;45;1
CAMARA;45;1
CLEMENTINO;45;1
DELFINO;45;1
ELE;45;1
GUIA;45;1
INOCENCIA;45;1
IZAURA;45;1
LUIS;45;1
VALE;45;1
CONSTA;44;1
COSME;44;1
ESMERIA;44;1
FLORIANO;44;1
GIL;44;1
ITALIANOS;44;1
JOVENTINA;44;1
LAURENTINA;44;1
LEAO;44;1
LESSA;44;1
MARTINEZ;44;1
MODESTO;44;1
NATALINA;44;1
ALVARES;43;1
BELMIRA;43;1
CARLA;43;1
DAL;43;1
EDUARDA;43;1
ENEDINA;43;1
FLAUZINA;43;1
MEIRELES;43;1
VIANNA;43;1
EULINA;42;1
GASPAR;42;1
GERMANO;42;1
IRIA;42;1
LTCIA;42;1
NICOLAU;42;1
NOVAIS;42;1
PRESTES;42;1
VITORINA;42;1
ARMINDA;41;1
DANIEL;41;1
ESTEVAM;41;1
GERALDO;41;1
PATRICIO;41;1
RUIZ;41;1
TOMAZIA;41;1
VERA;41;1
CARMEM;40;1
CARMEN;40;1
CLAUDINO;40;1
CONSTANTINA;40;1
CREUZA;40;1
FELICIDADE;40;1
IGNACIO;40;1
LEOCADIA;40;1
MULLER;40;1
NOBREGA;40;1
PETRONILA;40;1
RAFAEL;40;1
ROMAO;40;1
VALENTIM;40;1
CALDAS;39;1
ESTA;39;1
ESTEVAO;39;1
GERALDINA;39;1
GORETE;39;1
LOURENCA;39;1
MAIRA;39;1
MARCIONILA;39;1
MARCOS;39;1
MATHIAS;39;1
SERAFINA;39;1
SONIA;39;1
ALEIXO;38;1
AUTA;38;1
AYRES;38;1
EDNA;38;1
EMILIANA;38;1
LAURINDO;38;1
LEONEL;38;1
MARCAL;38;1
MATILDES;38;1
PALMEIRA;38;1
ROCIO;38;1
TELLES;38;1
VICTORIA;38;1
CESARIO;37;1
CEZAR;37;1
MONTE;37;1
PORTELA;37;1
CAMELO;36;1
FELISBINA;36;1
HENRIQUES;36;1
MATA;36;1
PENA;36;1
PRATES;36;1
TRAJANO;36;1
ALONSO;35;1
ANDRELINA;35;1
CESARIA;35;1
CLEMENCIA;35;1
CONSTANTINO;35;1
CORTES;35;1
DONATO;35;1
ELIZABETE;35;1
FELICIO;35;1
FIGUEREDO;35;1
GIMENES;35;1
GOIS;35;1
HORA;35;1
LEONARDO;35;1
LINHARES;35;1
MAURICIA;35;1
MAXIMO;35;1
NA;35;1
PORFIRIA;35;1
RICARDINA;35;1
ROMANO;35;1
SÂ¦O;35;1
SODRE;35;1
VALENTE;35;1
CASTELO;34;1
