nome;frequencia;no_casos
CERQUEIRA;138;1
REZENDE;138;1
CELESTINO;136;1
PAES;136;1
RANGEL;136;1
ALFREDO;135;1
EDSON;135;1
FEITOSA;135;1
AQUINO;134;1
GALVAO;133;1
LINS;132;1
JUNIOR;131;1
MANUEL;131;1
LIRA;130;1
PESSOA;129;1
RAFAEL;129;1
SILVESTRE;129;1
SEVERINA;128;1
PONTES;127;1
SENA;127;1
PAIXAO;126;1
SANTO;125;1
SILVERIO;125;1
SIMAO;125;1
BERNARDINO;124;1
FLORENCIO;123;1
GREGORIO;122;1
MAURO;122;1
AMERICO;120;1
VITORINO;120;1
ALCANTARA;119;1
CICERA;119;1
MATTOS;119;1
PORTO;119;1
RG;119;1
AGOSTINHO;117;1
COSME;117;1
ANTGNIO;116;1
CLEMENTE;116;1
ALENCAR;115;1
CLAUDINO;115;1
BARBOZA;114;1
MARGARIDA;114;1
ALBINO;113;1
COUTO;113;1
LISBOA;113;1
MATEUS;113;1
MILTON;113;1
SEBASTIANA;113;1
TOLEDO;113;1
LEONARDO;112;1
SARAIVA;112;1
CASSIANO;111;1
JANUARIO;111;1
JOAQUINA;111;1
MARA;111;1
TOME;111;1
BRANDAO;110;1
MARTA;110;1
PEDROSO;110;1
QUIRINO;110;1
SANTA;110;1
BALBINO;109;1
DEL;109;1
FURTADO;109;1
GRACA;109;1
GUSTAVO;109;1
TENORIO;109;1
FERNANDA;108;1
ESTEVES;106;1
GAMA;105;1
GERALDA;105;1
GILBERTO;105;1
LAURENTINO;105;1
VIDAL;105;1
MOTTA;104;1
BRUNO;103;1
DAVID;103;1
FLAVIO;103;1
LAURINDO;102;1
OTAVIO;102;1
BOSCO;101;1
DONIZETI;101;1
JERONIMO;101;1
LACERDA;101;1
VENTURA;101;1
ANGELA;100;1
VALERIO;99;1
BARROSO;98;1
RODRIGO;98;1
SALETE;98;1
HONORATO;97;1
SALVADOR;95;1
HUMBERTO;94;1
MAGELA;93;1
ROMAO;93;1
MAGNO;92;1
MORENO;92;1
TERESA;92;1
GERMANO;91;1
MERCES;91;1
CLEMENTINO;90;1
DAMIAO;90;1
MARCIA;90;1
MARCOLINO;90;1
MESQUITA;90;1
SANCHES;90;1
BELO;89;1
PIMENTEL;89;1
CALIXTO;88;1
EUSTAQUIO;88;1
SANDRO;88;1
CELSO;87;1
DAMASCENO;87;1
NERES;87;1
BONFIM;86;1
FLORENTINO;86;1
ORLANDO;86;1
REINALDO;86;1
FONTES;85;1
NILTON;85;1
RAMALHO;85;1
EUGENIA;84;1
EUNICE;84;1
LEME;84;1
VARGAS;84;1
MEIRA;83;1
VALENTIM;83;1
BANDEIRA;82;1
MODESTO;82;1
PIMENTA;82;1
SEVERO;82;1
BELARMINO;81;1
CAVALCANTI;81;1
FLORES;81;1
INACIA;80;1
OLIMPIO;80;1
CARLA;79;1
FIGUEIRA;79;1
