nome;frequencia;no_casos
RUIZ;72;1
SABINO;72;1
AFONSO;71;1
NOBRE;71;1
AMARO;70;1
APARECIDA;70;1
MATA;70;1
ANDRE;69;1
BITTENCOURT;69;1
DOURADO;69;1
RUFINO;69;1
SEVERINO;69;1
FIGUEIRA;68;1
MEIRELES;68;1
QUADROS;68;1
SALGADO;68;1
SP;68;1
CLEMENTE;67;1
PENA;67;1
SERRA;67;1
MARTINEZ;66;1
SERAFIM;66;1
ANNA;65;1
FALCAO;65;1
GREGORIO;65;1
HORA;65;1
ESPINDOLA;64;1
GOIS;64;1
JUSTINO;64;1
ROBERTO;64;1
CALIXTO;63;1
GASPAR;63;1
JANUARIO;63;1
SOBRAL;63;1
MATHIAS;62;1
NOVAIS;62;1
CARDOZO;61;1
CELESTINO;61;1
COIMBRA;61;1
ROMAO;61;1
TOMAZ;61;1
VALENTE;61;1
AMANCIO;60;1
CAVALHEIRO;60;1
FLORENCIO;60;1
LUCIANO;60;1
NOBREGA;60;1
VALLE;60;1
DANIEL;59;1
DAVID;59;1
MARINS;59;1
MATEUS;59;1
MODESTO;59;1
RICARDO;59;1
VALENTIM;59;1
FIGUEREDO;58;1
LUNA;58;1
PRIMO;58;1
SOUTO;58;1
JACINTO;57;1
FELICIANO;56;1
HONORATO;56;1
MADEIRA;56;1
JOAQUIM;55;1
LESSA;55;1
VITORINO;55;1
MUNHOZ;54;1
NORONHA;54;1
PRATES;54;1
THOMAZ;54;1
VERAS;54;1
ANA;53;1
BRUNO;53;1
GODINHO;53;1
BALBINO;52;1
JULIO;52;1
SACRAMENTO;52;1
BOAS;51;1
CINTRA;51;1
LINHARES;51;1
LUCIO;51;1
NERY;51;1
PARREIRA;51;1
PORTELA;51;1
SARMENTO;51;1
SCHNEIDER;51;1
TELLES;51;1
TERRA;51;1
ANGELO;50;1
BARCELLOS;50;1
BASILIO;50;1
BERNARDINO;50;1
FIDELIS;50;1
IGNACIO;50;1
PALMA;50;1
AGOSTINHO;49;1
AMBROSIO;49;1
AVELAR;49;1
HOLANDA;49;1
HONORIO;49;1
BITENCOURT;48;1
DIOGO;48;1
LEITAO;48;1
NAVARRO;48;1
ORTIZ;48;1
PESSANHA;48;1
SCHMIDT;48;1
SODRE;48;1
BOMFIM;47;1
CASSIANO;47;1
FERRO;47;1
LAGO;47;1
MASCARENHAS;47;1
SÂ¦;47;1
VITAL;47;1
AVELINO;46;1
CEZAR;46;1
DELFINO;46;1
FELICIO;46;1
FORTUNATO;46;1
GOUVEA;46;1
OLIVIERA;46;1
PROENCA;46;1
SALDANHA;46;1
DELGADO;45;1
FLORIANO;45;1
GUSMAO;45;1
ALBINO;44;1
PRAZERES;44;1
TENORIO;44;1
APOLINARIO;43;1
GUERREIRO;43;1
LAURINDO;43;1
LOURDES;43;1
MARCOLINO;43;1
PRESTES;43;1
ALEIXO;42;1
BRITTO;42;1
CONSTANTINO;42;1
JUNQUEIRA;42;1
MARTIN;41;1
SEVERO;41;1
ALONSO;40;1
CIPRIANO;40;1
CLAUDINO;40;1
GERMANO;40;1
GIMENES;40;1
GUILHERME;40;1
HENRIQUES;40;1
PINA;40;1
QUIRINO;40;1
ROMERO;40;1
SANCHEZ;40;1
VIEGAS;40;1
JACOB;39;1
MAURICIO;39;1
MEDINA;39;1
NICOLAU;39;1
RAFAEL;39;1
THEODORO;39;1
VITOR;39;1
ANSELMO;38;1
ANUNCIACAO;38;1
BECKER;38;1
BRUM;38;1
CORTEZ;38;1
GONZALES;38;1
IRMAO;38;1
MALAQUIAS;38;1
MENESES;38;1
NERI;38;1
PATRICIO;38;1
QUARESMA;38;1
BESSA;37;1
FIALHO;37;1
MAFRA;37;1
ROMANO;37;1
SEBASTIAO;37;1
TOBIAS;37;1
ADAO;36;1
AZEREDO;36;1
BONIFACIO;36;1
CAMPELO;36;1
DAMACENO;36;1
GIL;36;1
GRACA;36;1
LOBATO;36;1
MOURAO;36;1
ROZA;36;1
ANASTACIO;35;1
ASSUMPCAO;35;1
MARCAL;35;1
MARCIANO;35;1
MATHEUS;35;1
MONTE;35;1
PRATA;35;1
SEIXAS;35;1
VASCONCELLOS;35;1
VIRGENS;35;1
BASSO;34;1
BELO;34;1
BENEVIDES;34;1
FORTES;34;1
MARTINI;34;1
RAPOSO;34;1
SERRANO;34;1
TOME;34;1
BERNARDI;33;1
CASAGRANDE;33;1
CORTES;33;1
EUGENIO;33;1
GIMENEZ;33;1
LANA;33;1
LOUZADA;33;1
PANTOJA;33;1
AFFONSO;32;1
APARECIDO;32;1
BELLO;32;1
CAIRES;32;1
DIONISIO;32;1
FONTOURA;32;1
FURLAN;32;1
JORDAO;32;1
JULIAO;32;1
MALTA;32;1
MARCHI;32;1
MERCES;32;1
NONATO;32;1
ROLIM;32;1
SIMPLICIO;32;1
AIRES;31;1
BENITES;31;1
BIANCHI;31;1
CRISPIM;31;1
DONATO;31;1
FLOR;31;1
FONTANA;31;1
FRAZAO;31;1
MARTINELLI;31;1
MAXIMO;31;1
MORGADO;31;1
NEPOMUCENO;31;1
PASCHOAL;31;1
ADRIANO;30;1
CLEMENTINO;30;1
FEITOZA;30;1
HERNANDES;30;1
LAGE;30;1
MEIRELLES;30;1
RAYMUNDO;30;1
SARTORI;30;1
ZEFERINO;30;1
ALVAREZ;29;1
ARANHA;29;1
ARCANJO;29;1
EVARISTO;29;1
FLORENTINO;29;1
FRAGOSO;29;1
LEONEL;29;1
LUIS;29;1
MAGALHÂ¦ES;29;1
NAZARIO;29;1
PATROCINIO;29;1
SALOMAO;29;1
SATO;29;1
VITORIA;29;1
AMERICO;28;1
CAMELO;28;1
CLARO;28;1
EDUARDO;28;1
FOGACA;28;1
GLORIA;28;1
LONGO;28;1
MANTOVANI;28;1
MOLINA;28;1
MORALES;28;1
PARENTE;28;1
PESTANA;28;1
PIVA;28;1
SANTANNA;28;1
VALADARES;28;1
VICTOR;28;1
ATAIDE;27;1
BARBIERI;27;1
DAMIAO;27;1
FERMINO;27;1
GONZALEZ;27;1
JERONIMO;27;1
MANHAES;27;1
MARCELO;27;1
NAZARETH;27;1
NEGREIROS;27;1
PAIM;27;1
PONTE;27;1
RABELLO;27;1
SOBREIRA;27;1
WAGNER;27;1
BAHIA;26;1
BOAVENTURA;26;1
FEIJO;26;1
FERNANDEZ;26;1
GALLO;26;1
HOFFMANN;26;1
KLEIN;26;1
LYRA;26;1
MARCOS;26;1
OLIMPIO;26;1
PENTEADO;26;1
RICCI;26;1
RUSSO;26;1
VASQUES;26;1
WEBER;26;1
CIRILO;25;1
COLOMBO;25;1
DIVINO;25;1
DORNELES;25;1
ESTEVAO;25;1
GRACAS;25;1
JTNIOR;25;1
LADEIRA;25;1
MACENA;25;1
PADUA;25;1
PIO;25;1
ZAGO;25;1
ALVARES;24;1
ANACLETO;24;1
CALADO;24;1
CEZARIO;24;1
CIRINO;24;1
ESTEVAM;24;1
FROES;24;1
FROTA;24;1
GUTIERREZ;24;1
NETA;24;1
PALMEIRA;24;1
PORFIRIO;24;1
PRUDENCIO;24;1
QUINTINO;24;1
RITA;24;1
SARDINHA;24;1
VILLELA;24;1
AGUILAR;23;1
BRASILEIRO;23;1
CANDIDA;23;1
CONTE;23;1
DAMASIO;23;1
DUQUE;23;1
FF;23;1
FISCHER;23;1
GARCEZ;23;1
GONDIM;23;1
GRACIANO;23;1
MILANI;23;1
NERES;23;1
PORTELLA;23;1
PORTUGAL;23;1
SENNA;23;1
SIMAS;23;1
VARELA;23;1
ALBANO;22;1
BERALDO;22;1
