nome;frequencia;no_casos
GUIOMAR;154;1
JULIETA;154;1
INACIO;153;1
ISMAEL;153;1
BENEDICTA;152;1
IDALINA;152;1
TERESA;152;1
LUCIO;150;1
MARCELINO;149;1
GENI;148;1
HUMBERTO;148;1
LAURO;148;1
MATEUS;148;1
DANILO;147;1
IOLANDA;147;1
JEFERSON;147;1
DEBORA;146;1
KATIA;146;1
VIRGINIA;146;1
ARTUR;144;1
CARLA;144;1
GABRIELA;144;1
JESUS;144;1
MONICA;144;1
ELIZABETE;143;1
EVERALDO;143;1
JOAQUINA;142;1
AUGUSTA;141;1
CLEONICE;141;1
DIEGO;141;1
SELMA;141;1
THEREZINHA;141;1
CLAUDEMIR;140;1
ERNESTO;140;1
WILLIAN;140;1
AGOSTINHO;139;1
CATARINA;138;1
ADELINO;137;1
RAUL;137;1
WALDOMIRO;137;1
JUDITH;136;1
MERCEDES;136;1
VAGNER;136;1
CANDIDA;135;1
ALAIDE;134;1
DIVA;134;1
TERESINHA;134;1
ARTHUR;133;1
COSME;133;1
ETELVINA;133;1
VALERIA;133;1
AUREA;132;1
DIVINO;132;1
QUITERIA;132;1
ALINE;131;1
EDITH;131;1
JEFFERSON;130;1
ADELAIDE;129;1
DURVAL;129;1
HUGO;129;1
RENATA;129;1
FABIANA;127;1
AGUINALDO;126;1
AVELINO;126;1
CLAUDIONOR;126;1
JAQUELINE;126;1
AMERICO;125;1
CLEBER;125;1
DORALICE;125;1
DULCE;125;1
JEAN;125;1
PAULA;125;1
VINICIUS;125;1
JURACI;123;1
MARA;123;1
HAROLDO;121;1
JOSEFINA;121;1
LUCIENE;121;1
ALTAIR;120;1
CLARICE;120;1
EMILIO;120;1
ERNESTINA;119;1
GETULIO;119;1
MARLY;119;1
AMANDA;118;1
ZELIA;118;1
ARI;117;1
BENTO;117;1
LAZARA;117;1
VANESSA;117;1
ALEXSANDRO;116;1
IVONETE;116;1
LETICIA;116;1
MAURA;116;1
MESSIAS;116;1
OLINDA;116;1
ALDO;115;1
DOLORES;115;1
ESTER;115;1
APPARECIDA;114;1
ARLETE;114;1
JANAINA;114;1
ANGELICA;113;1
JANETE;113;1
RUI;113;1
ARY;112;1
EDGAR;112;1
INES;112;1
ENEDINA;111;1
LUZINETE;111;1
ANITA;110;1
JERONIMO;110;1
ABILIO;109;1
CLEIDE;109;1
ELIZA;109;1
EUGENIO;109;1
EVALDO;109;1
MOACYR;109;1
OTACILIO;109;1
VERONICA;109;1
ALBINO;108;1
AMALIA;108;1
BRUNA;108;1
DANIELA;108;1
ELISANGELA;108;1
MARINALVA;108;1
ONOFRE;108;1
VANIA;108;1
ANTONIETA;107;1
DENISE;107;1
DURVALINA;107;1
ELISABETE;107;1
JACIRA;107;1
MARIANO;106;1
SANTINA;106;1
DIVINA;105;1
MATILDE;105;1
CREUZA;104;1
GENESIO;104;1
IRACY;104;1
VILMAR;104;1
MARCUS;103;1
NATALIA;103;1
NORMA;103;1
SUELY;103;1
GEORGINA;102;1
JOVELINA;102;1
VANDA;102;1
YOLANDA;102;1
MARISA;101;1
NESTOR;101;1
ALMERINDA;100;1
AMARA;100;1
DARIO;100;1
EZEQUIEL;100;1
JACY;100;1
NILO;100;1
AURELIO;99;1
EURIDES;99;1
ROMILDO;99;1
WILLIAM;99;1
ADOLFO;98;1
DOMINGAS;98;1
JANE;98;1
PALMIRA;98;1
VALDIVINO;98;1
ABEL;97;1
ADAIR;97;1
JUREMA;97;1
WESLEY;97;1
ALDA;96;1
ITAMAR;96;1
ODILON;96;1
VICENTINA;96;1
VILSON;96;1
BARBARA;95;1
EDMUNDO;95;1
GENTIL;95;1
AMILTON;94;1
DIONISIO;94;1
GENIVALDO;94;1
IDA;94;1
JURACY;94;1
CAMILA;93;1
CLEUSA;93;1
DARCY;93;1
GILVAN;93;1
ALCEU;92;1
EDNALDO;92;1
NATANAEL;92;1
PAULINA;92;1
SARA;92;1
ALEXANDRO;91;1
AMADEU;91;1
AMARILDO;91;1
GLORIA;91;1
MARCILIO;91;1
AMAURI;90;1
ANALIA;90;1
ARGEMIRO;90;1
BRAZ;90;1
EURIPEDES;90;1
JESSICA;90;1
ALOISIO;89;1
JAILSON;89;1
LEILA;89;1
LUCIMAR;89;1
NILDA;89;1
OTILIA;89;1
ALAN;88;1
ALVINO;88;1
CLARA;88;1
DONIZETE;88;1
FLAVIA;88;1
GUILHERMINA;88;1
NEWTON;88;1
ROSANE;88;1
CLEMENTE;87;1
EFIGENIA;87;1
JUDITE;87;1
LEDA;87;1
MIRIAM;87;1
PAULINO;87;1
FREDERICO;86;1
LUANA;86;1
FILOMENA;85;1
RINALDO;85;1
VIVIANE;85;1
DEOLINDA;84;1
ELIETE;84;1
GENY;84;1
GERALDINA;84;1
IGOR;84;1
RUY;84;1
DECIO;83;1
ERALDO;83;1
FABRICIO;83;1
JULIANO;83;1
LARISSA;83;1
MIRIAN;83;1
RENE;83;1
CANDIDO;82;1
CLAUDETE;82;1
GENIVAL;82;1
JUSSARA;82;1
EUGENIA;81;1
NATALINA;81;1
NATALINO;81;1
ROSEMEIRE;81;1
ADELSON;80;1
ARMINDA;80;1
DJANIRA;80;1
GONCALO;80;1
LINDAURA;80;1
LOURENCO;80;1
VALDETE;80;1
WANDA;80;1
ARLINDA;79;1
EDER;79;1
JAYME;79;1
MADALENA;79;1
ALUIZIO;78;1
CHARLES;78;1
ERCILIA;78;1
ROSIMEIRE;78;1
VIRGILIO;78;1
ZENAIDE;78;1
ANISIO;77;1
ELIZEU;77;1
GISELE;77;1
LAURINDA;77;1
OLIVIO;77;1
BERNARDO;76;1
ELIO;76;1
ELISEU;76;1
ERICA;76;1
